Timestamp,Value
2025-04-11 23:37:18.056,2079
2025-04-11 23:37:18.121,2058
2025-04-11 23:37:18.122,1796
2025-04-11 23:37:18.122,1802
2025-04-11 23:37:18.170,1968
2025-04-11 23:37:18.170,1997
2025-04-11 23:37:18.170,1961
2025-04-11 23:37:18.225,1617
2025-04-11 23:37:18.225,2034
2025-04-11 23:37:18.281,2096
2025-04-11 23:37:18.281,1808
2025-04-11 23:37:18.289,1840
2025-04-11 23:37:18.337,1979
2025-04-11 23:37:18.337,1987
2025-04-11 23:37:18.338,1962
2025-04-11 23:37:18.394,1955
2025-04-11 23:37:18.395,2001
2025-04-11 23:37:18.464,2015
2025-04-11 23:37:18.464,1919
2025-04-11 23:37:18.464,1904
2025-04-11 23:37:18.505,1924
2025-04-11 23:37:18.506,1981
2025-04-11 23:37:18.506,2000
2025-04-11 23:37:18.564,1936
2025-04-11 23:37:18.566,1784
2025-04-11 23:37:18.618,2090
2025-04-11 23:37:18.618,2095
2025-04-11 23:37:18.621,2003
2025-04-11 23:37:18.674,1876
2025-04-11 23:37:18.675,1911
2025-04-11 23:37:18.675,2016
2025-04-11 23:37:18.787,1975
2025-04-11 23:37:18.788,1988
2025-04-11 23:37:18.788,1630
2025-04-11 23:37:18.789,2077
2025-04-11 23:37:18.789,2046
2025-04-11 23:37:18.844,1913
2025-04-11 23:37:18.844,1824
2025-04-11 23:37:18.846,1983
2025-04-11 23:37:18.900,1971
2025-04-11 23:37:18.919,1970
2025-04-11 23:37:18.958,1717
2025-04-11 23:37:18.959,2078
2025-04-11 23:37:18.959,2017
2025-04-11 23:37:19.023,2167
2025-04-11 23:37:19.023,1658
2025-04-11 23:37:19.023,1919
2025-04-11 23:37:19.066,2019
2025-04-11 23:37:19.066,1957
2025-04-11 23:37:19.157,1999
2025-04-11 23:37:19.157,1873
2025-04-11 23:37:19.157,2074
2025-04-11 23:37:19.191,2179
2025-04-11 23:37:19.192,1793
2025-04-11 23:37:19.192,1872
2025-04-11 23:37:19.238,2013
2025-04-11 23:37:19.256,1999
2025-04-11 23:37:19.294,1953
2025-04-11 23:37:19.299,1918
2025-04-11 23:37:19.299,1936
2025-04-11 23:37:19.351,2146
2025-04-11 23:37:19.351,2130
2025-04-11 23:37:19.352,2146
2025-04-11 23:37:19.410,1695
2025-04-11 23:37:19.410,1971
2025-04-11 23:37:19.520,2014
2025-04-11 23:37:19.520,1974
2025-04-11 23:37:19.520,1972
2025-04-11 23:37:19.520,1859
2025-04-11 23:37:19.520,2163
2025-04-11 23:37:19.520,2123
2025-04-11 23:37:19.586,2070
2025-04-11 23:37:19.589,2180
2025-04-11 23:37:19.631,1652
2025-04-11 23:37:19.631,1963
2025-04-11 23:37:19.631,2030
2025-04-11 23:37:19.686,1975
2025-04-11 23:37:19.743,1812
2025-04-11 23:37:19.803,2407
2025-04-11 23:37:19.803,2271
2025-04-11 23:37:19.803,2247
2025-04-11 23:37:19.822,1712
2025-04-11 23:37:19.822,1702
2025-04-11 23:37:19.822,2034
2025-04-11 23:37:19.857,2015
2025-04-11 23:37:19.858,1994
2025-04-11 23:37:19.866,760
2025-04-11 23:37:19.913,2094
2025-04-11 23:37:19.913,2089
2025-04-11 23:37:19.913,2603
2025-04-11 23:37:19.970,1262
2025-04-11 23:37:19.970,1929
2025-04-11 23:37:20.030,2047
2025-04-11 23:37:20.032,2013
2025-04-11 23:37:20.032,567
2025-04-11 23:37:20.082,1987
2025-04-11 23:37:20.082,1968
2025-04-11 23:37:20.082,2007
2025-04-11 23:37:20.137,1655
2025-04-11 23:37:20.137,1909
2025-04-11 23:37:20.195,2032
2025-04-11 23:37:20.196,2006
2025-04-11 23:37:20.197,1989
2025-04-11 23:37:20.271,2180
2025-04-11 23:37:20.271,2064
2025-04-11 23:37:20.271,1947
2025-04-11 23:37:20.317,1776
2025-04-11 23:37:20.317,1941
2025-04-11 23:37:20.375,1941
2025-04-11 23:37:20.375,1946
2025-04-11 23:37:20.376,1959
2025-04-11 23:37:20.419,1934
2025-04-11 23:37:20.433,1966
2025-04-11 23:37:20.433,1937
2025-04-11 23:37:20.487,1964
2025-04-11 23:37:20.488,1907
2025-04-11 23:37:20.542,1906
2025-04-11 23:37:20.542,1945
2025-04-11 23:37:20.542,1949
2025-04-11 23:37:20.589,1934
2025-04-11 23:37:20.589,1938
2025-04-11 23:37:20.589,1939
2025-04-11 23:37:20.645,2017
2025-04-11 23:37:20.705,1983
2025-04-11 23:37:20.707,1949
2025-04-11 23:37:20.707,1903
2025-04-11 23:37:20.707,1978
2025-04-11 23:37:20.759,1961
2025-04-11 23:37:20.760,1974
2025-04-11 23:37:20.761,1915
2025-04-11 23:37:20.813,1969
2025-04-11 23:37:20.813,1984
2025-04-11 23:37:20.869,1963
2025-04-11 23:37:20.870,1968
2025-04-11 23:37:20.870,1974
2025-04-11 23:37:20.932,1936
2025-04-11 23:37:20.932,1962
2025-04-11 23:37:20.932,1600
2025-04-11 23:37:21.005,2610
2025-04-11 23:37:21.005,2369
2025-04-11 23:37:21.051,2249
2025-04-11 23:37:21.051,867
2025-04-11 23:37:21.051,1817
2025-04-11 23:37:21.109,2065
2025-04-11 23:37:21.109,2077
2025-04-11 23:37:21.109,1263
2025-04-11 23:37:21.156,2608
2025-04-11 23:37:21.156,554
2025-04-11 23:37:21.156,1933
2025-04-11 23:37:21.210,1520
2025-04-11 23:37:21.210,2016
2025-04-11 23:37:21.272,2067
2025-04-11 23:37:21.272,2031
2025-04-11 23:37:21.272,4095
2025-04-11 23:37:21.343,2509
2025-04-11 23:37:21.343,2368
2025-04-11 23:37:21.343,1014
2025-04-11 23:37:21.386,1872
2025-04-11 23:37:21.386,2085
2025-04-11 23:37:21.440,2045
2025-04-11 23:37:21.440,946
2025-04-11 23:37:21.440,2287
2025-04-11 23:37:21.488,1374
2025-04-11 23:37:21.488,1782
2025-04-11 23:37:21.488,1951
2025-04-11 23:37:21.544,1993
2025-04-11 23:37:21.544,1966
2025-04-11 23:37:21.680,1934
2025-04-11 23:37:21.680,1942
2025-04-11 23:37:21.680,1962
2025-04-11 23:37:21.680,1936
2025-04-11 23:37:21.728,1947
2025-04-11 23:37:21.728,1946
2025-04-11 23:37:21.729,1955
2025-04-11 23:37:21.729,1943
2025-04-11 23:37:21.789,1910
2025-04-11 23:37:21.789,1940
2025-04-11 23:37:21.789,1965
2025-04-11 23:37:21.825,2000
2025-04-11 23:37:21.826,1829
2025-04-11 23:37:21.828,1906
2025-04-11 23:37:21.892,1947
2025-04-11 23:37:21.893,1968
2025-04-11 23:37:21.939,1971
2025-04-11 23:37:21.975,1954
2025-04-11 23:37:21.975,1956
2025-04-11 23:37:22.006,1958
2025-04-11 23:37:22.006,1970
2025-04-11 23:37:22.006,1959
2025-04-11 23:37:22.052,1994
